Ticket1;TicketAgent;3;3
Ticket2;TicketAgent;3;3
Ticket3;TicketAgent;3;3
Ticket4;TicketAgent;3;3
Ticket5;TicketAgent;3;3
Ticket6;TicketAgent;3;3
Ticket7;TicketAgent;3;3
Ticket8;TicketAgent;3;3
Ticket9;TicketAgent;3;3
Ticket10;TicketAgent;3;3
Ticket11;TicketAgent;3;3
Ticket12;TicketAgent;3;3
Ticket13;TicketAgent;3;3
Ticket14;TicketAgent;3;3
Ticket15;TicketAgent;3;3
Question1;QuestionAgent;5;1
Question2;QuestionAgent;3;2
Question3;QuestionAgent;5;3
Question4;QuestionAgent;8;4
Question5;QuestionAgent;7;5
Question6;QuestionAgent;6;6
Question7;QuestionAgent;4;7
Question8;QuestionAgent;3;1
Question9;QuestionAgent;5;2
Question10;QuestionAgent;6;3
Question11;QuestionAgent;7;4
Question12;QuestionAgent;8;5
Question13;QuestionAgent;7;6
Question14;QuestionAgent;4;7
Question15;QuestionAgent;5;1
Question16;QuestionAgent;8;2
Question17;QuestionAgent;7;3
Question18;QuestionAgent;3;4
Question19;QuestionAgent;4;5
Question20;QuestionAgent;5;6
Question21;QuestionAgent;6;7
Question22;QuestionAgent;4;4
Question23;QuestionAgent;7;1
Question24;QuestionAgent;4;2
Question25;QuestionAgent;5;3
Question26;QuestionAgent;7;5
Question27;QuestionAgent;8;6
Question28;QuestionAgent;5;7
Question29;QuestionAgent;7;3
Question30;QuestionAgent;4;4
Question115;QuestionAgent;5;1
Question116;QuestionAgent;8;2
Question117;QuestionAgent;7;3
Question181;QuestionAgent;3;4
Question191;QuestionAgent;4;5
Question201;QuestionAgent;5;6
Question211;QuestionAgent;6;7
Question221;QuestionAgent;4;4
Question231;QuestionAgent;7;1
Question241;QuestionAgent;4;2
Question251;QuestionAgent;5;3
Question261;QuestionAgent;7;5
Question271;QuestionAgent;8;6
Question281;QuestionAgent;5;7
Question291;QuestionAgent;7;3
Question301;QuestionAgent;4;4
Question1911;QuestionAgent;4;5
Question2011;QuestionAgent;5;6
Question2111;QuestionAgent;6;7
Question2211;QuestionAgent;4;4
Question2312;QuestionAgent;7;1
Question23441;QuestionAgent;4;2
Question25451;QuestionAgent;5;3
Question2561;QuestionAgent;7;5
Question2551;QuestionAgent;8;6
Question2851;QuestionAgent;5;7
Question2951;QuestionAgent;7;3
Question3051;QuestionAgent;4;4
Question0;QuestionAgent;3;7;
Question1;QuestionAgent;2;7;
Question2;QuestionAgent;2;1;
Question3;QuestionAgent;7;3;
Question4;QuestionAgent;8;3;
Question5;QuestionAgent;9;5;
Question6;QuestionAgent;5;5;
Question7;QuestionAgent;7;4;
Question8;QuestionAgent;3;7;
Question9;QuestionAgent;3;2;
Question10;QuestionAgent;6;5;
Question11;QuestionAgent;2;1;
Question12;QuestionAgent;8;3;
Question13;QuestionAgent;6;4;
Question14;QuestionAgent;3;4;
Question15;QuestionAgent;2;2;
Question16;QuestionAgent;3;3;
Question17;QuestionAgent;6;5;
Question18;QuestionAgent;3;7;
Question19;QuestionAgent;2;4;
Question20;QuestionAgent;4;1;
Question21;QuestionAgent;7;7;
Question22;QuestionAgent;8;4;
Question23;QuestionAgent;1;7;
Question24;QuestionAgent;9;6;
Question25;QuestionAgent;4;6;
Question26;QuestionAgent;9;6;
Question27;QuestionAgent;9;6;
Question28;QuestionAgent;8;1;
Question29;QuestionAgent;7;7;
Question30;QuestionAgent;7;1;
Question31;QuestionAgent;8;6;
Question32;QuestionAgent;6;5;
Question33;QuestionAgent;1;6;
Question34;QuestionAgent;3;1;
Question35;QuestionAgent;9;6;
Question36;QuestionAgent;4;7;
Question37;QuestionAgent;6;3;
Question38;QuestionAgent;1;6;
Question39;QuestionAgent;8;6;
Question40;QuestionAgent;9;5;
Question41;QuestionAgent;7;6;
Question42;QuestionAgent;4;2;
Question43;QuestionAgent;4;3;
Question44;QuestionAgent;9;1;
Question45;QuestionAgent;9;2;
Question46;QuestionAgent;7;4;
Question47;QuestionAgent;4;7;
Question48;QuestionAgent;3;1;
Question49;QuestionAgent;8;4;
Question50;QuestionAgent;4;6;
Question51;QuestionAgent;9;7;
Question52;QuestionAgent;1;3;
Question53;QuestionAgent;8;2;
Question54;QuestionAgent;3;3;
Question55;QuestionAgent;9;6;
Question56;QuestionAgent;2;4;
Question57;QuestionAgent;5;6;
Question58;QuestionAgent;7;1;
Question59;QuestionAgent;5;1;
Question60;QuestionAgent;5;6;
Question61;QuestionAgent;7;3;
Question62;QuestionAgent;6;6;
Question63;QuestionAgent;2;7;
Question64;QuestionAgent;7;4;
Question65;QuestionAgent;3;2;
Question66;QuestionAgent;2;4;
Question67;QuestionAgent;3;5;
Question68;QuestionAgent;2;5;
Question69;QuestionAgent;7;2;
